Experiment,Library_Name,Run,SRA_Sample,Sample_Name,Replicate_Name,dev_stage,replicate,sex,tissue,BioProject,LibraryLayout,SRA_Study,strain
SRX316319,Male Testes,SRR923701,SRS452565,Male_Testes_1,Male_Testes_1,adult,1,Male,testes,PRJNA209388,SINGLE,SRP026319,Liverpool
SRX316320,Non-BF Female Carcass,SRR923856,SRS453617,Non-BF_Female_Carcass_1,Non-BF_Female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026320,Liverpool
SRX316321,Non-BF Female Ovary,SRR923857,SRS453618,Non-BF_Female_Ovary_1,Non-BF_Female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026321,Liverpool
SRX316552,72hr BF female Carcass,SRR923736,SRS453621,72hr_BF_female_Carcass_1,72hr_BF_female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026322,Liverpool
SRX316555,36hr-BF Female Ovary,SRR923822,SRS453622,36hr-BF_Female_Ovary_1,36hr-BF_Female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026323,Liverpool
SRX316565,20-24hr Embryo,SRR923827,SRS453624,20-24hr_Embryo_1,20-24hr_Embryo_1,20-24hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026324,Liverpool
SRX316569,36-40hr Embryo,SRR923834,SRS453625,36-40hr_Embryo_1,36-40hr_Embryo_1,36-40hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026325,Liverpool
SRX316580,2nd Instar Larvae,SRR923832,SRS453773,2nd_Instar_Larvae_1,2nd_Instar_Larvae_1,L2 larval,1,not applicable,whole larvae,PRJNA209388,SINGLE,SRP026326,Liverpool
SRX316574,56-60hr Embryo,SRR923845,SRS453774,56-60hr_Embryo_1,56-60hr_Embryo_1,56-60hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026327,Liverpool
SRX316573,52-56hr Embryo,SRR923844,SRS453775,52-56hr_Embryo_1,52-56hr_Embryo_1,52-56hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026328,Liverpool
SRX316577,68-72hr Embryos,SRR923850,SRS453776,68-72hr_Embryos_1,68-72hr_Embryos_1,68-72hr Embryos,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026329,Liverpool
SRX316546,Male Carcass,SRR923703,SRS453849,Male_Carcass_1,Male_Carcass_1,adult,1,Male,carcass,PRJNA209388,SINGLE,SRP026330,Liverpool
SRX316547,12hr-BF Female Carcass,SRR923823,SRS453850,12hr-BF_Female_Carcass_1,12hr-BF_Female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026331,Liverpool
SRX316548,24hr-BF Female Carcass,SRR923830,SRS453851,24hr-BF_Female_Carcass_1,24hr-BF_Female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026332,Liverpool
SRX316549,36hr-BF Female Carcass,SRR923835,SRS453852,36hr-BF_Female_Carcass_1,36hr-BF_Female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026333,Liverpool
SRX316550,48hr-BF Female Carcass,SRR923841,SRS453853,48hr-BF_Female_Carcass_1,48hr-BF_Female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026334,Liverpool
SRX316551,60hr BF-Female Carcass,SRR923847,SRS453854,60hr_BF-Female_Carcass_1,60hr_BF-Female_Carcass_1,adult,1,Female,carcass,PRJNA209388,SINGLE,SRP026335,Liverpool
SRX316553,12hr-BF Female Ovary,SRR923705,SRS453855,12hr-BF_Female_Ovary_1,12hr-BF_Female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026336,Liverpool
SRX316554,24hr-BF Female Ovary,SRR923829,SRS453856,24hr-BF_Female_Ovary_1,24hr-BF_Female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026337,Liverpool
SRX316556,48hr-BF Female Ovary,SRR923842,SRS453857,48hr-BF_Female_Ovary_1,48hr-BF_Female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026338,Liverpool
SRX316557,60hr-BF Female Ovary,SRR923848,SRS453858,60hr-BF_Female_Ovary_1,60hr-BF_Female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026339,Liverpool
SRX316558,72hr BF female Ovary,SRR923852,SRS453859,72hr_BF_female_Ovary_1,72hr_BF_female_Ovary_1,adult,1,Female,ovaries,PRJNA209388,SINGLE,SRP026340,Liverpool
SRX316559,0-2hr Embryo,SRR923702,SRS453860,0-2hr_Embryo_1,0-2hr_Embryo_1,0-2hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026341,Liverpool
SRX316560,2-4hr Embryo,SRR923826,SRS453861,2-4hr_Embryo_1,2-4hr_Embryo_1,2-4hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026342,Liverpool
SRX316561,4-8hr Embryo,SRR923837,SRS453862,4-8hr_Embryo_1,4-8hr_Embryo_1,4-8hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026343,Liverpool
SRX316562,8-12hr Embryo,SRR923853,SRS453863,8-12hr_Embryo_1,8-12hr_Embryo_1,8-12hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026344,Liverpool
SRX316563,12-16hr Embryos,SRR923704,SRS453864,12-16hr_Embryos_1,12-16hr_Embryos_1,12-16hr Embryos,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026345,Liverpool
SRX316564,16-20hr Embryo,SRR923824,SRS453865,16-20hr_Embryo_1,16-20hr_Embryo_1,16-20hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026346,Liverpool
SRX316566,24-28hr Embryo,SRR923828,SRS453866,24-28hr_Embryo_1,24-28hr_Embryo_1,24-28hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026347,Liverpool
SRX316567,28-32hr Embryo,SRR923831,SRS453867,28-32hr_Embryo_1,28-32hr_Embryo_1,28-32hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026348,Liverpool
SRX316568,32-36hr Embryo,SRR923833,SRS453868,32-36hr_Embryo_1,32-36hr_Embryo_1,32-36hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026349,Liverpool
SRX316570,40-44hr Embryo,SRR923838,SRS453869,40-44hr_Embryo_1,40-44hr_Embryo_1,40-44hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026350,Liverpool
SRX316571,44-48hr Embryo,SRR923839,SRS453870,44-48hr_Embryo_1,44-48hr_Embryo_1,44-48hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026351,Liverpool
SRX316572,48-52hr Embryo,SRR923840,SRS453871,48-52hr_Embryo_1,48-52hr_Embryo_1,48-52hr Embryo,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026352,Liverpool
SRX316575,60-64hr Embryos,SRR923846,SRS453872,60-64hr_Embryos_1,60-64hr_Embryos_1,60-64hr Embryos,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026353,Liverpool
SRX316576,64-68hr Embryos,SRR923849,SRS453873,64-68hr_Embryos_1,64-68hr_Embryos_1,64-68hr Embryos,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026354,Liverpool
SRX316578,72-76hr Embryos,SRR923851,SRS453874,72-76hr_Embryos_1,72-76hr_Embryos_1,72-76hr Embryos,1,not applicable,Whole embryos,PRJNA209388,SINGLE,SRP026355,Liverpool
SRX316579,1st Instar Larvae,SRR923825,SRS453875,1st_Instar_Larvae_1,1st_Instar_Larvae_1,L1 larval,1,not applicable,whole larvae,PRJNA209388,SINGLE,SRP026356,Liverpool
SRX316581,3rd Instar Larvae,SRR923836,SRS453876,3rd_Instar_Larvae_1,3rd_Instar_Larvae_1,L3 larval,1,not applicable,whole larvae,PRJNA209388,SINGLE,SRP026357,Liverpool
SRX316582,4th Instar Larvae,SRR923843,SRS453877,4th_Instar_Larvae_1,4th_Instar_Larvae_1,L4 larval,1,not applicable,whole larvae,PRJNA209388,SINGLE,SRP026358,Liverpool
SRX316583,Male Pupae,SRR923855,SRS453878,Male_Pupae_1,Male_Pupae_1,late pupal,1,Male,whole pupae,PRJNA209388,SINGLE,SRP026359,Liverpool
SRX316584,Female Pupae,SRR923854,SRS453879,Female_Pupae_1,Female_Pupae_1,late pupal,1,Female,whole pupae,PRJNA209388,SINGLE,SRP026360,Liverpool
SRX316667,Male Testes-Paired,SRR924021,SRS453976,Male_Testes_2,Male_Testes_2,adult,2,Male,testes,PRJNA209388,PAIRED,SRP026361,Liverpool
SRX316704,Male Carcass-Paired,SRR924022,SRS454012,Male_Carcass_2,Male_Carcass_2,adult,2,Male,carcass,PRJNA209388,PAIRED,SRP026362,Liverpool
SRX316705,72hr BF female Carcass-Paired,SRR924023,SRS454013,72hr_BF_female_carcass_2,72hr_BF_female_carcass_2,adult,2,Female,carcass,PRJNA209388,PAIRED,SRP026363,Liverpool
SRX316706,72hr BF female Ovary -Paired,SRR924024,SRS454014,72hr_BF_female_ovary_2,72hr_BF_female_ovary_2,adult,2,Female,carcass,PRJNA209388,PAIRED,SRP026364,Liverpool
